PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Customer ID
Yes,Electronic check,101.5,906.85,8118-TJAFG
Yes,Electronic check,89.15,1057.55,5429-LWCMV
Yes,Mailed check,19.4,19.4,7298-IZWLY
No,Bank transfer (automatic),29.9,1388.75,9758-MFWGD
No,Electronic check,78.8,1641.3,3955-JBZZM
Yes,Credit card (automatic),85.35,1375.15,1268-ASBGA
Yes,Mailed check,79.65,152.7,8943-URTMR
Yes,Mailed check,19.3,185.2,4815-TUMEQ
Yes,Electronic check,79.6,195.05,4713-LZDRV
No,Mailed check,96.8,1826.7,9909-IDLEK
No,Mailed check,20.65,417.5,4092-OFQZS
No,Mailed check,19.8,344.5,1561-BWHIN
Yes,Electronic check,90.6,1660,4325-NFSKC
Yes,Electronic check,104.6,2180.55,9927-DSWDF
No,Credit card (automatic),80.05,2835.9,9500-LTVBP
No,Mailed check,45.15,45.15,7252-NTGSS
Yes,Credit card (automatic),73.15,2730.85,8149-AIQCG
Yes,Electronic check,99.1,5437.1,1360-JYXKQ
Yes,Bank transfer (automatic),20.2,20.2,2955-PSXOE
Yes,Credit card (automatic),106.05,6981.35,7762-URZQH
Yes,Mailed check,105.35,5794.45,0899-WZRSD
Yes,Credit card (automatic),45.65,747.2,3255-GRXMG
Yes,Credit card (automatic),79.95,1267.95,4828-FAZPK
Yes,Credit card (automatic),54.45,3674.95,6094-ZIVKX
No,Credit card (automatic),25.1,1275.6,6925-BAYGL
No,Credit card (automatic),84.7,5893.9,3262-EIDHV
Yes,Electronic check,75.85,724.65,7354-OIJLX
Yes,Mailed check,48.8,1536.75,1376-HHBDV
Yes,Electronic check,99.15,3615.6,6907-NZZIJ
Yes,Electronic check,35.2,607.3,6133-OZILE
No,Electronic check,76.25,4154.55,4135-FRWKJ
No,Electronic check,55.9,2184.35,2911-UREFD
Yes,Electronic check,82.35,1852.85,3744-ZRRDZ
Yes,Credit card (automatic),40.4,77.15,5673-TIYIB
Yes,Bank transfer (automatic),24.9,847.8,6551-ZCOTS
No,Bank transfer (automatic),54.3,2390.45,7191-ADRGF
No,Bank transfer (automatic),66.3,1923.5,5018-LXQQG
Yes,Bank transfer (automatic),20.9,1493.2,6892-BOGQE
No,Electronic check,75.35,338.1,1602-IJQQE
Yes,Electronic check,85.15,3030.6,4628-WQCQQ
No,Credit card (automatic),75.35,75.35,1746-TGTWV
Yes,Electronic check,104.45,2184.85,5995-SNNEW
Yes,Credit card (automatic),49.45,1031.4,8050-WYBND
No,Credit card (automatic),19.45,921.3,2821-WARNZ
Yes,Electronic check,92.15,3875.4,4879-GZLFH
Yes,Electronic check,93.8,3124.5,1644-IRKSF
No,Mailed check,19.85,144.15,8314-HTWVE
Yes,Bank transfer (automatic),100.25,6689,9402-ROUMJ
No,Electronic check,95.7,1451.1,2507-QZPQS
Yes,Electronic check,93.15,6368.2,7159-NOKYQ
Yes,Mailed check,69.7,3729.6,5707-ZMDJP
No,Mailed check,19.8,350.1,8779-YIQQA
Yes,Mailed check,71.35,2847.2,7136-IHZJA
No,Bank transfer (automatic),20.75,452.35,8966-OIQHG
Yes,Electronic check,40.6,1494.5,7074-STDCN
Yes,Electronic check,20.4,930.45,3705-PSNGL
No,Mailed check,20.35,41.85,8739-QOTTN
No,Bank transfer (automatic),19.75,1272.05,1399-OUPJN
Yes,Electronic check,54.4,475.1,0277-BKSQP
Yes,Credit card (automatic),94.7,673.1,6502-HCJTI
Yes,Credit card (automatic),30.5,208.7,2606-RMDHZ
No,Mailed check,20.45,150.75,5774-XZTQC
Yes,Bank transfer (automatic),66.15,3199,2676-SSLTO
Yes,Electronic check,89.85,5844.65,6266-QHOJZ
No,Bank transfer (automatic),45.05,2462.6,7269-JISCY
No,Bank transfer (automatic),86.85,6263.8,0363-SVHYR
Yes,Mailed check,96.75,3403.4,8547-NSBBO
Yes,Electronic check,77,237.75,8258-GSTJK
No,Credit card (automatic),20.1,221.35,6861-OKBCE
No,Electronic check,75.3,75.3,9940-RHLFB
Yes,Bank transfer (automatic),106.65,1672.1,6591-QGOYB
Yes,Credit card (automatic),110.15,7881.2,9070-BCKQP
Yes,Bank transfer (automatic),82.85,2320.8,6421-SZVEM
No,Mailed check,20.1,370.5,1328-EUZHC
Yes,Credit card (automatic),99.2,4062.2,2995-UPRYS
Yes,Electronic check,59.45,3043.7,8878-RYUKI
Yes,Bank transfer (automatic),58.6,2723.4,9633-DENPU
No,Credit card (automatic),49.7,1081.25,7811-JIVPF
No,Mailed check,65.85,4097.05,7113-HIPFI
Yes,Electronic check,73.5,632.2,8541-QVFKM
No,Mailed check,85.5,4042.3,6686-YPGHK
No,Mailed check,20.05,164.85,1383-EZRWL
No,Credit card (automatic),113.65,8166.8,9258-CNWAC
Yes,Electronic check,83.4,4113.7,5371-VYLSX
No,Mailed check,65.65,3047.15,6374-AFWOX
No,Electronic check,70.4,70.4,4759-TRPLW
Yes,Bank transfer (automatic),61.35,4193.4,5317-FLPJF
Yes,Credit card (automatic),85.9,3729.75,7621-VPNET
Yes,Mailed check,75.65,399.45,6034-YMTOB
Yes,Electronic check,49.75,331.3,8563-IIOXK
No,Credit card (automatic),70.9,1964.6,4903-CNOZC
No,Mailed check,49.85,1336.15,4353-HYOJD
Yes,Credit card (automatic),75.3,1147.45,8020-BWHYL
No,Mailed check,20.1,486.05,7267-FRMJW
Yes,Electronic check,94,1078.9,2982-VPSGI
Yes,Electronic check,103.05,5925.75,4188-FRABG
Yes,Bank transfer (automatic),118.35,7804.15,8199-ZLLSA
No,Electronic check,99.7,4747.2,4128-ETESU
Yes,Mailed check,81.9,1028.9,0620-DLSLK
Yes,Electronic check,30.45,226.45,4625-EWPTF
Yes,Electronic check,96.1,4364.1,5980-NOPLP
Yes,Electronic check,66.2,4692.55,3850-OKINF
Yes,Electronic check,104.25,2433.9,6892-XPFPU
Yes,Electronic check,80.2,1217.25,8010-EZLOU
No,Electronic check,19.75,19.75,1156-ZFYDO
Yes,Mailed check,72.6,154.3,3295-YVUSR
Yes,Electronic check,116.5,6382.55,8016-NCFVO
Yes,Electronic check,106.8,7623.2,4119-ZYPZY
No,Mailed check,24.95,1261.45,5549-ZGHFB
Yes,Electronic check,89.25,89.25,7577-SWIFR
Yes,Mailed check,19.25,86.05,0303-WMMRN
Yes,Bank transfer (automatic),104.55,6779.05,6408-OTUBZ
Yes,Mailed check,87.2,4345,5204-HMGYF
Yes,Electronic check,30.75,82.85,1078-TDCRN
Yes,Credit card (automatic),25.7,1714.55,3727-OVPRY
No,Electronic check,86.2,893.2,3797-FKOGQ
Yes,Credit card (automatic),30.1,810.85,7622-NXQZR
Yes,Electronic check,99.35,6347.55,6196-HBOBZ
Yes,Credit card (automatic),19.2,1123.65,3970-XGJDU
No,Bank transfer (automatic),20.1,43.15,7017-VFULY
No,Credit card (automatic),20.35,35.1,5562-YJQGT
Yes,Credit card (automatic),25.65,1388,8807-OPMBM
Yes,Electronic check,94.55,3851.45,5439-WIKXB
Yes,Electronic check,104.2,1743.5,9874-QLCLH
Yes,Bank transfer (automatic),94.4,2638.1,8294-UIMBA
No,Mailed check,56.1,946.95,8109-YUOHE
No,Bank transfer (automatic),68.25,1114.85,5840-NVDCG
No,Bank transfer (automatic),24.75,1777.6,8092-NLTGF
Yes,Electronic check,76.25,684.85,5928-QLDHB
No,Electronic check,74.35,74.35,9840-EFJQB
No,Electronic check,54.15,1312.45,0696-UKTOX
No,Bank transfer (automatic),19.45,159.2,4801-KFYKL
Yes,Mailed check,34.95,610.2,3472-OAOOR
Yes,Electronic check,53.65,404.35,6135-OZQVA
Yes,Electronic check,69.65,69.65,8062-YBDOE
No,Electronic check,104,6363.45,2252-JHJGE
Yes,Credit card (automatic),70.35,4124.65,4188-PCPIG
Yes,Electronic check,80.8,713.1,6000-APYLU
No,Mailed check,64.85,950.75,7105-BENQF
No,Mailed check,19.65,19.65,7721-DVEKZ
No,Bank transfer (automatic),45.9,505.95,3566-VVORZ
No,Mailed check,20,1149.65,9507-HSMMZ
No,Electronic check,44.8,169.65,2480-SQIOB
Yes,Mailed check,80.3,526.7,0947-IDHRQ
No,Mailed check,20.35,393.15,7813-TKCVO
No,Mailed check,45.8,1147,0128-MKWSG
Yes,Electronic check,84.1,3021.6,3672-YITQD
Yes,Bank transfer (automatic),108.95,5718.2,4350-ZTLPI
Yes,Electronic check,69.35,191.35,9048-JVYVF
No,Credit card (automatic),64.35,4539.6,0361-HJRDX
Yes,Credit card (automatic),90.8,6397.6,5727-MYATE
No,Credit card (automatic),24.95,280.4,3823-KYNQY
Yes,Mailed check,79.6,2718.3,8988-ECPJR
Yes,Bank transfer (automatic),84.7,5711.05,7570-WELNY
Yes,Credit card (automatic),70.8,3478.15,3021-VLNRJ
Yes,Electronic check,36.45,36.45,3776-EKTKM
Yes,Electronic check,104.4,4133.95,2080-CAZNM
Yes,Electronic check,101.5,2917.65,1028-FFNJK
No,Electronic check,54.3,54.3,6907-FLBER
Yes,Electronic check,103.95,2964.8,3001-UNBTL
Yes,Credit card (automatic),91.1,2198.3,5982-PSMKW
No,Mailed check,19.95,1189.9,3507-GASNP
No,Credit card (automatic),26.45,1914.5,7096-ZNBZI
Yes,Electronic check,89.4,2001.5,1902-XBTFB
Yes,Bank transfer (automatic),75.1,5336.35,1676-MQAOA
No,Bank transfer (automatic),108.1,7238.6,0786-IVLAW
Yes,Electronic check,110.15,7998.8,7566-DSRLQ
No,Electronic check,80.35,3825.85,0643-OKLRP
Yes,Electronic check,111.5,5703.25,7245-JMTTQ
Yes,Electronic check,106.5,7397,6050-IJRHS
Yes,Electronic check,19.9,164.6,6202-JVYEU
Yes,Mailed check,111.1,6555.2,8591-TKMZH
No,Mailed check,70.7,225.65,0734-OXWBT
Yes,Electronic check,24.85,955.75,4282-ACRXS
No,Bank transfer (automatic),91.2,3382.3,0365-TRTPY
No,Bank transfer (automatic),65.6,2313.8,7349-ALMUX
Yes,Credit card (automatic),40.65,933.3,9381-NDKME
No,Bank transfer (automatic),59.45,780.85,6502-KUGLL
Yes,Credit card (automatic),109.95,7852.4,1841-YSJGV
Yes,Electronic check,60.45,3184.25,2794-XIMMO
Yes,Electronic check,84.9,764.95,8382-SHQEH
No,Credit card (automatic),38.5,2763,3511-BFTJW
Yes,Electronic check,92.55,1614.7,7668-XCFYV
Yes,Bank transfer (automatic),73.55,145.4,2983-ZANRP
No,Bank transfer (automatic),20.15,156.25,7845-URHJN
No,Mailed check,34.7,1604.5,3034-ZBEQN
Yes,Mailed check,24.5,270.15,5018-HEKFO
Yes,Mailed check,19.7, ,2923-ARZLG
No,Mailed check,20.6,20.6,3976-NLDEZ
No,Credit card (automatic),58,1734.5,2282-YGNOR
Yes,Electronic check,107.45,7047.5,5336-UFNZP
Yes,Bank transfer (automatic),65.5,573.15,6854-EXGSF
No,Bank transfer (automatic),25.45,1538.6,1241-EZFMJ
Yes,Bank transfer (automatic),100.15,4459.8,9233-PSYHO
Yes,Credit card (automatic),104.45,7459,5376-PCKNB
Yes,Electronic check,21.15,306.05,8044-BGWPI
No,Electronic check,96.2,639.7,4060-LDNLU
Yes,Mailed check,44.4,348.15,3589-PPVKW
Yes,Electronic check,107.55,4533.9,8327-LZKAS
No,Bank transfer (automatic),94.35,5563.65,5887-IKKYO
Yes,Electronic check,98.75,1587.55,1075-BGWOH
No,Mailed check,20.3,40.25,1755-RMCXH
No,Electronic check,101.15,842.9,0302-JOIVN
No,Bank transfer (automatic),105.75,4228.55,3858-XHYJO
Yes,Electronic check,81.15,784.45,4299-SIMNS
Yes,Electronic check,89.55,3729.75,7025-IWFHT
Yes,Credit card (automatic),54.75,1406.9,6261-LHRTG
Yes,Credit card (automatic),53.75,1857.3,7841-FCRQD
No,Credit card (automatic),105.75,7322.5,2056-EVGZL
Yes,Credit card (automatic),105.85,6725.5,8777-MBMTS
Yes,Electronic check,64.2,3627.3,7753-USQYQ
Yes,Electronic check,88.7,1761.45,5366-IJEQJ
Yes,Credit card (automatic),87.7,1725.95,7661-CPURM
Yes,Credit card (automatic),89.3,4192.15,6233-HXJMX
Yes,Credit card (automatic),20.15,1411.2,5902-WBLSE
Yes,Electronic check,79.75,164.5,1981-INRFU
Yes,Mailed check,94.55,2724.6,4971-PUYQO
Yes,Electronic check,20.05,264.55,3239-TPHPZ
No,Credit card (automatic),67.2,4671.7,5115-GZDEL
No,Electronic check,94.55,1173.55,3338-CVVEH
Yes,Mailed check,69.05,318.5,8485-GJCDN
Yes,Electronic check,107.5,7713.55,2615-YVMYX
Yes,Electronic check,73,2471.25,2851-STERV
No,Credit card (automatic),114.75,7842.3,4393-GEADV
Yes,Electronic check,76.05,2227.8,8486-AYEQH
Yes,Bank transfer (automatic),96.25,4990.25,1527-SXDPN
Yes,Electronic check,101.1,3744.05,6029-WTIPC
Yes,Bank transfer (automatic),104.7,7220.35,8634-CILSZ
No,Mailed check,77.9,2351.45,5419-JKZNQ
Yes,Electronic check,90.65,2989.6,2495-KZNFB
Yes,Electronic check,110.45,6077.75,1409-PHXTF
No,Bank transfer (automatic),68.7,4070.95,4560-WQAQW
Yes,Electronic check,44.85,2479.05,9591-YVTEB
Yes,Credit card (automatic),29.8,2134.3,9309-BZGNT
Yes,Bank transfer (automatic),88.9,6000.1,4274-DRSQT
Yes,Mailed check,58.75,2203.1,2027-DNKIV
No,Credit card (automatic),19.85,183.15,8075-GXIUB
No,Bank transfer (automatic),86.9,6194.1,2885-HIJDH
Yes,Mailed check,59.65,638.95,5424-RLQLC
Yes,Mailed check,55.25,2139.2,6682-QJDGB
No,Credit card (automatic),66.4,831.75,6507-DTJZV
Yes,Electronic check,90.1,521.3,8780-IXSTS
No,Bank transfer (automatic),20.15,1337.5,7673-BQGKU
Yes,Credit card (automatic),108.1,7181.95,6723-WSNTY
No,Electronic check,53.75,608,9530-EHPOH
No,Mailed check,56.9,2560.1,2725-IWWBA
No,Electronic check,89.3,577.6,0345-HKJVM
Yes,Mailed check,109.6,5953,1061-PNTHC
No,Credit card (automatic),25.15,1790.15,0394-YONDK
Yes,Electronic check,79.15,2531.4,6574-MCOEH
No,Credit card (automatic),66.75,4760.3,7399-QHBJS
Yes,Electronic check,95.2,292.85,3049-SOLAY
No,Mailed check,48.8,953.65,0997-YTLNY
No,Electronic check,45.7,198,3317-HRTNN
Yes,Credit card (automatic),80.7,5705.05,9479-HYNYL
Yes,Electronic check,74.5,609.9,3235-ETOOB
No,Credit card (automatic),20.55,20.55,9708-KFDBY
Yes,Electronic check,79.65,79.65,8058-INTPH
Yes,Mailed check,115.1,6993.65,3642-GKTCT
No,Bank transfer (automatic),59.7,4122.65,0774-RMNUW
No,Credit card (automatic),86.45,5762.95,1334-PDUKM
No,Credit card (automatic),33.7,1537.85,0756-MPZRL
No,Bank transfer (automatic),80.1,2603.3,2242-MFOTG
Yes,Bank transfer (automatic),104.05,5566.4,2927-CVULT
No,Bank transfer (automatic),108.75,5431.9,2144-BFDSO
Yes,Credit card (automatic),41.1,2258.25,8745-PVESG
Yes,Bank transfer (automatic),20.35,1092.35,7647-GYYKX
Yes,Electronic check,105.9,6401.25,5647-FXOTP
Yes,Credit card (automatic),101.3,2812.2,5569-OUICF
Yes,Mailed check,80.05,80.05,8821-XNHVZ
Yes,Electronic check,89.2,2698.35,2082-OJVTK
Yes,Electronic check,65.5,616.9,9700-ISPUP
Yes,Electronic check,40.45,1912.85,9839-ETQOE
No,Bank transfer (automatic),70.45,849.1,6078-VESFR
Yes,Electronic check,78.8,3460.3,9027-TMATR
Yes,Electronic check,83.65,1465.75,5940-NFXKV
Yes,Electronic check,90.1,90.1,1941-HOSAM
Yes,Credit card (automatic),82.45,5555.3,9110-HSGTV
No,Credit card (automatic),20.25,1278.8,0704-VCUMB
No,Bank transfer (automatic),66.25,2907.35,6171-ZTVYB
No,Bank transfer (automatic),19.5,146.3,8053-WWDRO
No,Mailed check,51.25,51.25,9564-KCLHR
No,Mailed check,89.7,4952.95,1935-IMVBB
No,Bank transfer (automatic),64.55,4504.9,2535-PBCGC
Yes,Electronic check,45.6,45.6,2082-CEFLT
Yes,Electronic check,93.65,4520.15,1470-PSXNM
Yes,Bank transfer (automatic),49.65,267.35,1213-NGCUN
No,Mailed check,73.6,2316.85,2498-XLDZR
Yes,Mailed check,109.75,8075.35,9866-OCCKE
No,Credit card (automatic),61.45,2302.35,5338-YHWYT
Yes,Credit card (automatic),106.4,7251.9,7718-UPSKJ
No,Bank transfer (automatic),81.9,2078.55,8731-WBBMB
Yes,Credit card (automatic),105.2,6225.4,1448-CYWKC
No,Bank transfer (automatic),54.6,1242.25,7901-IIDQV
No,Electronic check,20.55,99.45,2690-DVRVK
Yes,Electronic check,20,288.05,5688-KZTSN
No,Mailed check,19.7,599.25,1270-XKUCC
Yes,Credit card (automatic),66.05,3462.1,0334-ZFJSR
Yes,Bank transfer (automatic),34,853,2894-QOJRX
Yes,Mailed check,92.5,934.1,5747-PMBSQ
Yes,Credit card (automatic),54.05,2375.2,5583-EJXRD
Yes,Mailed check,58.9,2813.05,4565-EVZMJ
No,Electronic check,88.35,1222.8,3143-JQEGI
Yes,Bank transfer (automatic),107.95,5293.2,6386-SZZKH
Yes,Mailed check,96.9,6314.35,3327-YBAKM
No,Mailed check,19.1,19.1,9441-QHEVC
No,Mailed check,50,1003.05,6705-LNMDD
No,Electronic check,45.4,1593.1,2580-ASVVY
No,Electronic check,85.45,2509.95,3370-GQEAL
No,Bank transfer (automatic),84.1,3187.65,5032-USPKF
Yes,Mailed check,74.45,74.45,2982-IHMFT
Yes,Electronic check,64.75,2345.2,3521-SYVOR
No,Credit card (automatic),66.25,3330.1,4254-QPEDE
Yes,Credit card (automatic),76.9,5522.7,6283-GITPX
No,Electronic check,89.8,2335.3,9526-JAWYF
Yes,Credit card (automatic),74.6,4798.4,0771-CHWSK
Yes,Credit card (automatic),116.95,8594.4,9788-HNGUT
Yes,Credit card (automatic),40.65,970.55,9495-REDIY
Yes,Bank transfer (automatic),114.35,7665.8,5375-XLDOF
No,Bank transfer (automatic),69.7,3686.05,1172-VIYBP
No,Mailed check,95.5,1115.15,5649-VUKMC
Yes,Electronic check,98.65,2537,6559-PDZLR
No,Mailed check,61.65,1393.6,8992-OBVDG
Yes,Electronic check,89.35,89.35,4273-MBHYA
Yes,Electronic check,95.4,4445.3,4724-WXVWF
No,Credit card (automatic),35.4,978.6,5701-GUXDC
No,Mailed check,19.95,1258.15,1460-UZPRJ
No,Mailed check,19.25,331.35,6082-GLJIX
Yes,Electronic check,29.65,291.4,5143-EGQFK
Yes,Electronic check,84.5,453.75,4919-IKATY
Yes,Mailed check,20.4,84.75,2495-TTHBQ
No,Credit card (automatic),24.75,1715.1,0485-ZBSLN
No,Mailed check,25.35,1715.15,3810-PJUHR
Yes,Credit card (automatic),90.7,1597.25,9050-QLROH
No,Bank transfer (automatic),20,1250.1,0847-HGRML
Yes,Electronic check,59.75,3996.8,8232-CTLKO
Yes,Bank transfer (automatic),82.5,5215.1,9227-YBAXE
Yes,Electronic check,70.3,235.5,6168-WFVVF
No,Mailed check,20.35,673.2,9860-LISIZ
Yes,Bank transfer (automatic),90.8,1442.2,0112-QAWRZ
Yes,Bank transfer (automatic),103.95,5639.05,0877-SDMBN
Yes,Electronic check,104.95,5222.35,2786-GCDPI
Yes,Electronic check,105.25,7291.75,4043-MKDTV
Yes,Electronic check,74.75,799.65,8065-YKXKD
Yes,Electronic check,50.8,50.8,9637-EIHEQ
No,Mailed check,23.75,424.5,9229-RQABD
Yes,Electronic check,61.3,249.4,8313-KTIHG
No,Mailed check,75.8,4415.75,5320-BRKGK
Yes,Electronic check,98,5270.6,6284-KMNUF
Yes,Electronic check,80.25,144.55,9689-PTNPG
Yes,Electronic check,78.9,2447.95,9465-RWMXL
Yes,Mailed check,52,2884.9,6229-UOLQL
Yes,Electronic check,84.75,3050.15,2362-IBOOY
Yes,Mailed check,64.4,253,3137-LUPIX
No,Bank transfer (automatic),85.45,4517.25,0843-WTBXE
Yes,Credit card (automatic),45.8,436.2,6143-JQKEA
No,Electronic check,30.5,118.4,8676-OOQEJ
No,Mailed check,19.9,19.9,5515-IDEJJ
No,Mailed check,69.15,3649.6,9701-CDXHR
Yes,Electronic check,99.45,1200.15,7450-NWRTR
Yes,Mailed check,49.25,255.6,8124-NZVGJ
No,Bank transfer (automatic),39.35,2395.05,2162-FRZAA
Yes,Electronic check,70.6,70.6,5376-DEQCP
Yes,Credit card (automatic),105.1,5083.55,5118-MUEYH
Yes,Credit card (automatic),81,389.6,9095-HFAFX
Yes,Credit card (automatic),20.1,644.5,5627-TVBPP
Yes,Electronic check,84.85,523.5,2379-ENZGV
No,Mailed check,19.75,39.3,3936-QQFLL
No,Bank transfer (automatic),19.75,989.05,2589-AYCRP
Yes,Bank transfer (automatic),70.4,2406.1,4067-HLYQI
No,Mailed check,20.45,638.55,5124-EOGYE
No,Mailed check,20.35,191.1,5057-RKGLH
Yes,Electronic check,86.2,4524.05,0292-WEGCH
Yes,Credit card (automatic),95.65,4664.2,8910-ICHIU
Yes,Electronic check,103.8,3470.8,4097-YODCF
Yes,Electronic check,97.2,6910.3,9715-WZCLW
No,Mailed check,63.55,4014.2,9786-YWNHU
No,Bank transfer (automatic),24.95,1288,6407-GSJNL
Yes,Electronic check,89.15,2277.65,6005-OBZPH
Yes,Bank transfer (automatic),99,6375.8,4049-ZPALD
Yes,Electronic check,24.8,24.8,7932-WPTDS
Yes,Bank transfer (automatic),85.55,5251.75,3733-UOCWF
Yes,Credit card (automatic),94,1505.45,6833-JMZYP
Yes,Credit card (automatic),105.65,6903.1,2722-VOJQL
Yes,Electronic check,50.3,913.3,1310-QRITU
Yes,Electronic check,95,5535.8,8961-QDZZJ
Yes,Bank transfer (automatic),61.4,815.55,9715-SBVSU
Yes,Credit card (automatic),80.55,1411.65,8490-BXHEO
No,Bank transfer (automatic),78.5,5602.25,7173-TETGO
No,Credit card (automatic),114.3,8244.3,7929-SKFGK
No,Mailed check,20.05,741.5,2300-RQGOI
No,Credit card (automatic),62.65,4375.8,3563-SVYLG
Yes,Electronic check,80.85,1008.7,5228-EXCET
Yes,Credit card (automatic),92.7,5968.4,6435-VWCCY
No,Electronic check,100.45,3096.9,4998-IKFSE
Yes,Bank transfer (automatic),75.2,3901.25,8630-QSGXK
Yes,Credit card (automatic),84.75,2613.4,2455-USLMV
No,Electronic check,89.45,853.1,7394-FKDNK
Yes,Bank transfer (automatic),79.5,5661.7,9488-FVZCC
Yes,Credit card (automatic),72.15,794.25,6331-LWDTQ
Yes,Electronic check,19.8,695.05,5995-WWKKG
No,Electronic check,76.4,160.8,1597-FZREH
Yes,Mailed check,100.9,5552.05,7879-CGSFV
Yes,Bank transfer (automatic),95.3,3275.15,9921-EZKBY
No,Bank transfer (automatic),90.95,4236.6,7432-FFVAR
No,Electronic check,54.5,54.5,7246-ZGQDF
Yes,Mailed check,61.6,1174.35,7000-WCEVQ
Yes,Electronic check,79.9,741.7,0727-IWKVK
Yes,Credit card (automatic),96.15,3019.25,5959-BELXA
Yes,Bank transfer (automatic),49.6,962.9,4456-RHSNB
No,Credit card (automatic),65.3,4759.75,3512-IZIKN
Yes,Credit card (automatic),25,1498.35,2481-SBOYW
No,Electronic check,45.45,1233.15,7109-MFBYV
Yes,Bank transfer (automatic),107.75,4882.8,1833-TCXKK
Yes,Credit card (automatic),89.1,5411.65,1832-PEUTS
No,Mailed check,19.65,19.65,6141-OOXUQ
No,Mailed check,44.75,148.05,8660-BUETV
Yes,Bank transfer (automatic),101.6,3930.55,0580-PIQHM
No,Bank transfer (automatic),103.15,6895.5,5696-CEIQJ
Yes,Mailed check,84.65,84.65,7503-ZGUZJ
No,Mailed check,95.65,6856.95,1696-HXOWK
No,Bank transfer (automatic),75.1,2658.8,3026-ATZYV
Yes,Mailed check,61.35,3766.2,4012-YCFAI
Yes,Electronic check,69.55,69.55,2506-TNFCO
No,Credit card (automatic),19.7,129.55,9970-QBCDA
Yes,Electronic check,31.05,347.25,8718-PTMEZ
No,Bank transfer (automatic),51,581.7,9496-IVVRP
Yes,Mailed check,51,354.05,2207-OBZNX
Yes,Electronic check,88.85,929.45,2657-VPXTA
No,Credit card (automatic),20.05,679,6551-VLJMV
Yes,Mailed check,65.1,3846.75,1221-GHZEP
Yes,Mailed check,70.15,4480.7,9289-LBQVU
Yes,Bank transfer (automatic),44.35,44.35,6142-VSJQO
Yes,Mailed check,20.75,499.4,3458-IDMFK
Yes,Mailed check,56.05,1553.2,6933-FHBZC
Yes,Bank transfer (automatic),19.95,219.5,0221-NAUXK
No,Mailed check,98.6,5311.85,9770-KXGQU
Yes,Electronic check,79.7,586.05,6437-UKHMV
Yes,Credit card (automatic),79,2576.8,6538-POCHL
No,Credit card (automatic),89.45,6435.25,6726-NNFWD
Yes,Electronic check,74.2,1993.25,3002-WQZWT
No,Bank transfer (automatic),81,1923.85,4277-UDIEF
Yes,Electronic check,49.6,939.8,1208-NBVFH
Yes,Electronic check,84.6,84.6,4912-PIGUY
Yes,Credit card (automatic),55,3092.65,1114-CENIM
Yes,Mailed check,84.85,415.55,6060-DRTNL
Yes,Bank transfer (automatic),84.2,5986.55,2725-TTRIQ
Yes,Electronic check,106.3,5487,3374-TTZTK
No,Electronic check,69.05,651.5,8990-ZXLSU
Yes,Mailed check,45.4,45.4,2275-RBYQS
Yes,Electronic check,73.65,73.65,8473-VUVJN
Yes,Mailed check,73.9,2405.05,6289-CPNLD
Yes,Electronic check,77.75,4458.15,5536-SLHPM
Yes,Electronic check,99.35,6856.45,4419-UJMUS
Yes,Mailed check,50.75,50.75,7794-JASDG
No,Bank transfer (automatic),87.1,4735.2,7609-YBPXG
Yes,Mailed check,20.15,682.15,5519-TEEUH
Yes,Bank transfer (automatic),98.7,4525.8,7856-GANIL
No,Electronic check,25.2,321.05,0804-XBFBV
Yes,Bank transfer (automatic),55.7,335.65,2676-OXPPQ
No,Bank transfer (automatic),65.35,1424.4,3703-TTEPD
Yes,Bank transfer (automatic),25.3,1748.55,2799-TSLAG
Yes,Electronic check,84.35,474.9,0196-VULGZ
No,Electronic check,84.95,668.4,8837-VVWLQ
Yes,Electronic check,73.85,926.25,2696-NARTR
No,Mailed check,24.25,1077.95,2208-NKVVH
Yes,Bank transfer (automatic),51.8,2541.25,7614-QVWQL
No,Electronic check,46,46,1976-CFOCS
Yes,Electronic check,79.4,1156.1,4631-OACRM
No,Bank transfer (automatic),60.5,3694.45,7139-JZFVG
No,Credit card (automatic),25.1,382.8,4987-GQWPO
Yes,Bank transfer (automatic),71.8,1167.8,3755-JBMNH
No,Bank transfer (automatic),20.05,746.75,1757-TCATG
No,Mailed check,88.4,3912.9,6345-ULYRW
No,Credit card (automatic),30.25,368.85,4776-XSKYQ
No,Mailed check,20.2,20.2,8048-DSDFQ
Yes,Electronic check,59.9,1654.7,5753-QQWPW
No,Bank transfer (automatic),25.15,1940.85,6010-DDPPW
No,Mailed check,46,221.7,1809-DMJHQ
No,Credit card (automatic),101.3,1794.65,6693-FRIRW
Yes,Credit card (automatic),76.95,5289.8,6586-MYGKD
Yes,Mailed check,55.3,501.2,3173-NVMPX
Yes,Bank transfer (automatic),92.45,6140.85,0248-PGHBZ
Yes,Bank transfer (automatic),48.45,48.45,0623-GDISB
No,Mailed check,19.35,309.25,2892-GESUL
No,Credit card (automatic),51.75,201.1,6923-EFPNL
Yes,Bank transfer (automatic),86.7,6179.35,7472-EQOAV
Yes,Electronic check,94.4,2838.7,9574-RKJIF
No,Mailed check,55.7,55.7,2043-WVTQJ
Yes,Credit card (automatic),84.25,4589.85,8034-RYTVV
Yes,Electronic check,64.65,3735.45,3863-QSTYI
Yes,Mailed check,70.15,70.15,2619-WFQWU
